regime,model,mean_cost,std_cost,degradation_pct,tw_violations,skipped
ID_n50m3,COAST,44.0193,3.9867,0.00,4936,8224
ID_n50m3,B0,45.3878,4.0950,3.11,4373,8484
ID_n50m3,B1,45.2813,4.1358,2.87,4554,8442
ID_n50m3,B3,44.8446,4.0839,1.87,4669,8400
ID_n50m3,B5,45.4652,4.0650,3.28,4340,8614
ID_n50m3,EdgeOff,45.8833,4.0738,4.23,5455,8380
ID_n50m3,no_ownership,45.1898,4.0886,2.66,4610,8416
ID_n50m3,no_lookahead,44.7260,4.0347,1.61,4346,8487
Burst_Dynamic,COAST,46.9199,5.0733,0.00,5729,8131
Burst_Dynamic,B0,47.6990,4.5245,1.66,5164,8448
Burst_Dynamic,B1,48.0031,4.4858,2.31,5124,8455
Burst_Dynamic,B3,47.3881,4.4533,1.00,5472,8337
Burst_Dynamic,B5,48.3732,5.1298,3.10,5221,8637
Burst_Dynamic,EdgeOff,48.6739,4.5554,3.74,6094,8374
Burst_Dynamic,no_ownership,47.9837,4.8327,2.27,5743,8394
Burst_Dynamic,no_lookahead,49.4063,5.4044,5.30,4979,8481
Scale_n100m5,COAST,94.5339,5.7524,0.00,7694,19538
Scale_n100m5,B0,97.2343,6.2751,2.86,6719,19972
Scale_n100m5,B1,97.5139,6.2694,3.15,6685,20116
Scale_n100m5,B3,96.7846,6.2688,2.38,7330,19964
Scale_n100m5,B5,100.2062,9.1961,6.00,6485,20982
Scale_n100m5,EdgeOff,97.7233,5.9624,3.37,9368,19697
Scale_n100m5,no_ownership,97.4803,6.2623,3.12,7162,20026
Scale_n100m5,no_lookahead,96.1412,6.1018,1.70,6453,20075
Fleet_n50m6,COAST,21.3073,3.6080,0.00,4329,618
Fleet_n50m6,B0,22.2072,3.2944,4.22,3935,913
Fleet_n50m6,B1,23.0909,3.3005,8.37,3450,1432
Fleet_n50m6,B3,22.2123,3.3012,4.25,3916,1036
Fleet_n50m6,B5,20.9692,3.1860,-1.59,3781,888
Fleet_n50m6,EdgeOff,21.2860,3.3235,-0.10,4572,734
Fleet_n50m6,no_ownership,22.0612,3.4332,3.54,4370,565
Fleet_n50m6,no_lookahead,22.0290,3.2991,3.39,3563,1224
Sparse_Spatial,COAST,52.9826,4.9554,0.00,9258,8274
Sparse_Spatial,B0,52.9353,5.1763,-0.09,8595,8519
Sparse_Spatial,B1,53.9385,5.3956,1.80,8672,8409
Sparse_Spatial,B3,54.0339,5.0508,1.98,9212,8334
Sparse_Spatial,B5,52.9634,4.9975,-0.04,8430,8559
Sparse_Spatial,EdgeOff,55.4760,5.3405,4.71,10265,8358
Sparse_Spatial,no_ownership,54.3009,5.2670,2.49,8866,8377
Sparse_Spatial,no_lookahead,51.8389,4.8517,-2.16,8453,8451
Tight_TW,COAST,46.1346,3.1975,0.00,9234,8256
Tight_TW,B0,47.4148,3.4702,2.77,9050,8378
Tight_TW,B1,47.2574,3.4388,2.43,9038,8361
Tight_TW,B3,47.0969,3.5398,2.09,9171,8365
Tight_TW,B5,47.1804,3.4579,2.27,8762,8620
Tight_TW,EdgeOff,48.0013,3.4219,4.05,10544,8273
Tight_TW,no_ownership,47.3354,3.5294,2.60,9152,8328
Tight_TW,no_lookahead,48.5195,4.0364,5.17,8863,8445
