regime,model,total_tw_violations,total_skipped_customers,n_instances,avg_cost
ID_n50m3,COAST,4936,8224,500,44.0193
ID_n50m3,B0,4373,8484,500,45.3878
ID_n50m3,B1,4554,8442,500,45.2813
ID_n50m3,B3,4669,8400,500,44.8446
ID_n50m3,B5,4340,8614,500,45.4652
ID_n50m3,EdgeOff,5455,8380,500,45.8833
ID_n50m3,no_ownership,4610,8416,500,45.1898
ID_n50m3,no_lookahead,4346,8487,500,44.7260
Burst_Dynamic,COAST,5729,8131,500,46.9199
Burst_Dynamic,B0,5164,8448,500,47.6990
Burst_Dynamic,B1,5124,8455,500,48.0031
Burst_Dynamic,B3,5472,8337,500,47.3881
Burst_Dynamic,B5,5221,8637,500,48.3732
Burst_Dynamic,EdgeOff,6094,8374,500,48.6739
Burst_Dynamic,no_ownership,5743,8394,500,47.9837
Burst_Dynamic,no_lookahead,4979,8481,500,49.4063
Scale_n100m5,COAST,7694,19538,500,94.5339
Scale_n100m5,B0,6719,19972,500,97.2343
Scale_n100m5,B1,6685,20116,500,97.5139
Scale_n100m5,B3,7330,19964,500,96.7846
Scale_n100m5,B5,6485,20982,500,100.2062
Scale_n100m5,EdgeOff,9368,19697,500,97.7233
Scale_n100m5,no_ownership,7162,20026,500,97.4803
Scale_n100m5,no_lookahead,6453,20075,500,96.1412
Fleet_n50m6,COAST,4329,618,500,21.3073
Fleet_n50m6,B0,3935,913,500,22.2072
Fleet_n50m6,B1,3450,1432,500,23.0909
Fleet_n50m6,B3,3916,1036,500,22.2123
Fleet_n50m6,B5,3781,888,500,20.9692
Fleet_n50m6,EdgeOff,4572,734,500,21.2860
Fleet_n50m6,no_ownership,4370,565,500,22.0612
Fleet_n50m6,no_lookahead,3563,1224,500,22.0290
Sparse_Spatial,COAST,9258,8274,500,52.9826
Sparse_Spatial,B0,8595,8519,500,52.9353
Sparse_Spatial,B1,8672,8409,500,53.9385
Sparse_Spatial,B3,9212,8334,500,54.0339
Sparse_Spatial,B5,8430,8559,500,52.9634
Sparse_Spatial,EdgeOff,10265,8358,500,55.4760
Sparse_Spatial,no_ownership,8866,8377,500,54.3009
Sparse_Spatial,no_lookahead,8453,8451,500,51.8389
Tight_TW,COAST,9234,8256,500,46.1346
Tight_TW,B0,9050,8378,500,47.4148
Tight_TW,B1,9038,8361,500,47.2574
Tight_TW,B3,9171,8365,500,47.0969
Tight_TW,B5,8762,8620,500,47.1804
Tight_TW,EdgeOff,10544,8273,500,48.0013
Tight_TW,no_ownership,9152,8328,500,47.3354
Tight_TW,no_lookahead,8863,8445,500,48.5195
